PLAYER NAME,Scoring Average,Total Strokes Gained,GIR Percentage,Putts Per Hole,Scrambling Percentage,Hit Fairway Percentage,Driving Accuracy Percentage,Driving Distance,Expected Score from Fairway
Adam Hadwin,70.97,25.436,62.44,1.588,60,63.54,62.97,293.4,Under
Brice Garnett,70.11,5.197,68.12,1.61,62.5,70.8,70.72,288.1,1 Under
Aaron Baddeley,70.69,-15.109,63.99,1.571,63.43,58.47,57.69,289.3,Under
Dylan Frittelli,71.24,-27.674,64.04,1.624,60.3,52.36,51.9,309.3,Under
Mackenzie Hughes,70.68,-6.723,64.44,1.592,58.16,56.77,58.05,293.5,Under
Jimmy Walker,72.32,-45.606,57.96,1.585,53.39,47.85,47.18,297.4,Over
J.B. Holmes,71.9,-38.459,60.3,1.597,53.35,47.73,46.86,302.9,Over
Fabián Gómez,71.57,-28.5,62.24,1.603,61.85,59.57,61.57,283.3,Over
Denny McCarthy,70.78,3.875,64.01,1.594,60.43,61.78,62.31,295.4,Under
Ryan Brehm,71.14,-39.484,67.72,1.649,56.38,49.27,51.85,311.5,Over
Patrick Rodgers,70.81,2.995,67.1,1.631,55.96,55.17,54.07,306.7,Under
Charles Howell III,70.39,20.816,67.22,1.625,65.86,59.7,60.66,297.6,1 Under
Vincent Whaley,70.6,-2.526,65.14,1.595,60.56,55.57,56.45,296.6,Under
Bill Haas,71.16,-9.604,65.78,1.609,62.36,56.81,56.98,295.8,Under
Beau Hossler,70.98,-10.135,65.34,1.603,58.65,57.76,56.28,305.1,1 Under
Matt Jones,70.43,23.509,65.74,1.598,61.05,54.95,55.62,304,1 Under
Robert Streb,70.68,-22.611,64.57,1.593,61.76,58.62,58.33,292.3,Under
J.T. Poston,71.17,1.764,62.24,1.597,56.74,56.87,57.02,299.9,Under
Brandon Hagy,71.34,-13.476,62.99,1.61,56.59,50.95,50.78,311.6,Under
Scott Harrington,71.48,-35.53,62.73,1.607,56.98,58.71,59.58,305.8,Under
Adam Long,71.18,-32.48,63.03,1.595,57.25,67.11,67.41,288.6,Under
Austin Cook,70.85,-27.354,64.51,1.605,59.35,64.82,65.47,289.2,Under
Wyndham Clark,71.04,-29.069,63.39,1.591,60.31,48.54,47.05,314.6,Under
Sung Kang,72.29,-114.031,62.02,1.632,53.4,55.29,55.5,292.7,1 Over
Rhein Gibson,71.64,-43.118,62.5,1.585,58.2,55.17,53.32,291.2,Over
Rafael Campos,71.35,-36.219,63.52,1.619,55.58,58.05,57.64,299.9,Under
Kris Ventura,71.81,-48.792,61.98,1.606,52.82,56.76,57.6,304.7,Over
Brian Gay,71.77,-75.488,60.71,1.586,56.77,60.19,59.67,286.8,Over
Sebastian Cappelen,72.07,-57.281,60.91,1.599,55.26,52.12,51.86,299.3,Over
Martin Trainer,72.59,-85.464,55.46,1.582,56.24,50.46,49.64,303.6,Over
Hunter Mahan,72.67,-73.291,57.5,1.595,53.9,56.97,56.05,296.2,Over
